Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR32802212_1	SRR32802212_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165908.0	49.9 Mbp	0.0	301.0	53.0	11.169443305928587	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802212_2	SRR32802212_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165908.0	49.9 Mbp	0.0	301.0	53.0	16.626684668611517	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802213_1	SRR32802213_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186693.0	56.1 Mbp	0.0	35-301	53.0	9.605609208700916	300.4553009486162	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802213_2	SRR32802213_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186693.0	56 Mbp	0.0	35-301	53.0	19.053740633017842	300.8731661069242	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802214_1	SRR32802214_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149479.0	44.9 Mbp	0.0	35-301	53.0	9.87095177248978	300.4173763538691	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802214_2	SRR32802214_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149479.0	44.8 Mbp	0.0	35-301	53.0	17.173649810341253	300.8833481626182	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802215_1	SRR32802215_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147908.0	44.4 Mbp	0.0	35-301	53.0	9.804743489195987	300.4989047245585	301	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR32802215_2	SRR32802215_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147908.0	44.3 Mbp	0.0	35-301	53.0	18.252562403656327	300.8592942910458	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802216_1	SRR32802216_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	187269.0	56.2 Mbp	0.0	35-301	53.0	9.18678478552243	300.34088663900593	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR32802216_2	SRR32802216_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	187269.0	56.1 Mbp	0.0	35-301	53.0	17.471658416502464	300.8423471049667	301	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
