Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802208_1	(1.0, 6.241159912801146)	(2.0, 2.66357954094565)	(3.0, 1.6006684623033007)	(4.0, 1.1763442767583314)	(5.0, 0.868254109035911)	(6.0, 0.78142869813232)	(7.0, 0.6339188602531007)	(8.0, 0.5788360726906074)	(9.0, 0.5797696792594633)	('>10', 8.338040266451314)	('>50', 4.6092156304411755)	('>100', 20.33488467624858)	('>500', 9.99565872945482)	('>1k', 29.32411552447683)	('>5k', 12.274125560747445)	('>10k+', 0.0)
SRR32802208_2	(1.0, 10.813498083772517)	(2.0, 2.860570526974228)	(3.0, 1.597867642596733)	(4.0, 0.9597475527837814)	(5.0, 0.7468852550846548)	(6.0, 0.4901434486493047)	(7.0, 0.4182557428474067)	(8.0, 0.395849185194867)	(9.0, 0.3108909874289876)	('>10', 5.547957035425701)	('>50', 4.855687764619112)	('>100', 31.206733170574587)	('>500', 19.462896140937247)	('>1k', 20.33301746311087)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802209_1	(1.0, 5.544080979494622)	(2.0, 2.4124520858918537)	(3.0, 1.4541699229652787)	(4.0, 0.9861932938856016)	(5.0, 0.7349931152543634)	(6.0, 0.7033605001674669)	(7.0, 0.5959026459752149)	(8.0, 0.6066019128428417)	(9.0, 0.4521603215362286)	('>10', 8.374734844255888)	('>50', 3.480052845074616)	('>100', 12.675840125041868)	('>500', 12.501860742063936)	('>1k', 40.317628670313724)	('>5k', 9.159967995236501)	('>10k+', 0.0)
SRR32802209_2	(1.0, 9.154385769044696)	(2.0, 2.528748464887797)	(3.0, 1.473707714636597)	(4.0, 0.9638643891183805)	(5.0, 0.6628893602768784)	(6.0, 0.5163559227419895)	(7.0, 0.488444791782963)	(8.0, 0.31632615086896654)	(9.0, 0.3349335715083175)	('>10', 4.3462282758364035)	('>50', 3.166517807301552)	('>100', 19.638736928287003)	('>500', 16.306613077295225)	('>1k', 40.102247776413236)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802210_1	(1.0, 6.232707077277162)	(2.0, 2.3675981287368977)	(3.0, 1.467990893853351)	(4.0, 0.96264978860731)	(5.0, 0.8080454306656994)	(6.0, 0.5883971680884597)	(7.0, 0.5708853476096365)	(8.0, 0.5443674480274185)	(9.0, 0.43229179696295)	('>10', 7.761238836214444)	('>50', 4.135291321642109)	('>100', 14.422735346358792)	('>500', 12.730593150376505)	('>1k', 34.352187726715535)	('>5k', 12.623020538863733)	('>10k+', 0.0)
SRR32802210_2	(1.0, 12.773622194981613)	(2.0, 2.895954769469392)	(3.0, 1.6481124759212467)	(4.0, 1.206814599854902)	(5.0, 0.7630150351487254)	(6.0, 0.5403647462036875)	(7.0, 0.5358617066519901)	(8.0, 0.3802566732544468)	(9.0, 0.2791884522052385)	('>10', 4.732194231105997)	('>50', 2.981512520951642)	('>100', 25.105446176168915)	('>500', 17.445775898731643)	('>1k', 28.711880519350565)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802211_1	(1.0, 6.131730590495074)	(2.0, 2.435095111221265)	(3.0, 1.4536216618129996)	(4.0, 0.9864303860214387)	(5.0, 0.7931098581076894)	(6.0, 0.7249519796765599)	(7.0, 0.5855381374310676)	(8.0, 0.5254352809963443)	(9.0, 0.4293946341161163)	('>10', 7.39636904393085)	('>50', 4.5696759402689135)	('>100', 16.605737654129747)	('>500', 13.253609269471466)	('>1k', 37.19313464279075)	('>5k', 6.91616580952971)	('>10k+', 0.0)
SRR32802211_2	(1.0, 12.000123923415329)	(2.0, 2.8750232356403744)	(3.0, 1.7027077266249457)	(4.0, 0.9517318297292273)	(5.0, 0.6722845281615961)	(6.0, 0.4609951050250945)	(7.0, 0.34698556292211413)	(8.0, 0.4015118656670178)	(9.0, 0.29555734556044366)	('>10', 3.9872358882210794)	('>50', 5.066608835739514)	('>100', 28.73226346118099)	('>500', 17.95588326414276)	('>1k', 24.551087427969513)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802212_1	(1.0, 7.921860308122573)	(2.0, 2.778648407551173)	(3.0, 1.7214359765653255)	(4.0, 1.176555681462015)	(5.0, 0.8980880970176242)	(6.0, 0.7305253513995709)	(7.0, 0.5653735805386118)	(8.0, 0.5786339417026304)	(9.0, 0.3905779106492755)	('>10', 6.1956023820430595)	('>50', 3.949779395809726)	('>100', 17.122139981194398)	('>500', 17.6284446801842)	('>1k', 33.315451937218214)	('>5k', 5.026882368541601)	('>10k+', 0.0)
SRR32802212_2	(1.0, 13.07772982616872)	(2.0, 3.2596378715914844)	(3.0, 1.9185331629577838)	(4.0, 1.1789666562191092)	(5.0, 0.9011018154639922)	(6.0, 0.7052101164500808)	(7.0, 0.4472358174409914)	(8.0, 0.419509607734407)	(9.0, 0.3526050582250404)	('>10', 5.541625479181233)	('>50', 5.613351978204788)	('>100', 33.03698435277382)	('>500', 18.268558478192734)	('>1k', 15.27894977939581)	('>5k', 0.0)	('>10k+', 0.0)
